year,mdr_coh,mdr_succ,mdr_fail,mdr_died,mdr_lost,xdr_coh,xdr_succ,xdr_fail,xdr_died,xdr_lost
1994,,,,,,,,,,
1995,,,,,,,,,,
1996,,,,,,,,,,
1997,,,,,,,,,,
1998,,,,,,,,,,
1999,,,,,,,,,,
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,,,,,,,,,,
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,,,,,,,,,,
2006,,,,,,,,,,
2007,62.0,32.0,6.0,12.0,12.0,,,,,
2008,190.0,83.0,25.0,40.0,42.0,0.0,0.0,0.0,0.0,0.0
2009,1172.0,582.0,81.0,238.0,254.0,,,,,
2010,2182.0,1041.0,200.0,483.0,409.0,,,,,
2011,3378.0,1679.0,244.0,765.0,574.0,0.0,,,,
2012,14051.0,6433.0,1055.0,3029.0,2869.0,129.0,41.0,4.0,61.0,17.0
2013,21093.0,9742.0,1507.0,4531.0,4154.0,392.0,131.0,22.0,178.0,33.0
2014,22524.0,10294.0,1880.0,4720.0,4469.0,1262.0,371.0,76.0,531.0,178.0
2015,26966.0,12505.0,2127.0,5310.0,5152.0,2130.0,599.0,90.0,903.0,311.0
2016,33197.0,15872.0,2842.0,6144.0,6324.0,2464.0,748.0,144.0,1016.0,348.0
2017,36043.0,17662.0,3284.0,6451.0,6692.0,2644.0,957.0,166.0,978.0,379.0
2018,47284.0,26499.0,5842.0,6549.0,6805.0,2661.0,1273.0,313.0,671.0,308.0
2019,60858.0,34891.0,9260.0,7985.0,8051.0,3023.0,1666.0,295.0,648.0,362.0
2020,40168.0,27534.0,2007.0,5387.0,4308.0,8950.0,5726.0,663.0,1579.0,831.0
2021,31506.0,22992.0,686.0,4350.0,3216.0,7029.0,4880.0,324.0,1142.0,618.0
2022,33950.0,26076.0,442.0,4052.0,2904.0,9186.0,6663.0,302.0,1336.0,696.0
2023,,,,,,,,,,
