year,actual,fitted,model,forecast,lower_95,upper_95,e_rr_pct_new,e_rr_pct_new_lower,e_rr_pct_new_upper,e_rr_pct_ret,e_rr_pct_ret_lower,e_rr_pct_ret_upper,new_cases,retreated_cases,dr_cases
2000,1115718.0,1019405.409230724,poly_deg1,,,,,,,,,,,,
2001,1085075.0,1056652.3184614927,poly_deg1,,,,,,,,,,,,
2002,1060951.0,1093899.2276922613,poly_deg1,,,,,,,,,,,,
2003,1073282.0,1131146.13692303,poly_deg1,,,,,,,,,,,,
2004,1136182.0,1168393.0461537987,poly_deg1,,,,,,,,,,,,
2005,1156248.0,1205639.9553845674,poly_deg1,,,,,,,,,,,,
2006,1228827.0,1242886.864615336,poly_deg1,,,,,,,,,,,,
2007,1295943.0,1280133.7738461047,poly_deg1,,,,,,,,,,,,
2008,1332267.0,1317380.6830768883,poly_deg1,,,,,,,,,,,,
2009,1351913.0,1354627.592307657,poly_deg1,,,,,,,,,,,,
2010,1339866.0,1391874.5015384257,poly_deg1,,,,,,,,,,,,
2011,1323949.0,1429121.4107691944,poly_deg1,,,,,,,,,,,,
2012,1289836.0,1466368.319999963,poly_deg1,,,,,,,,,,,,
2013,1243905.0,1503615.2292307317,poly_deg1,,,,,,,,,,,,
2014,1609547.0,1540862.1384615004,poly_deg1,,,,,,,,,,,,
2015,1667136.0,1578109.047692269,poly_deg1,,,,,,,,,,,,
2016,1763876.0,1615355.9569230378,poly_deg1,,,,,,,,,,,,
2017,1649694.0,1652602.8661538064,poly_deg1,,,,-0.40788931219958613,-3.317304879169906,2.5015262547707335,8.08207386638719,0.13708107522558244,16.0270666575488,,,
2018,1908683.0,1689849.7753845751,poly_deg1,,,,0.21607905006908368,-2.693336516901236,3.1254946170394033,8.74541093349012,0.8004181423285122,16.69040372465173,,,
2019,2162323.0,1727096.6846153587,poly_deg1,,,,0.8400474123379809,-2.069368154632339,3.7494629793083005,9.408748000593278,1.4637552094316693,17.353740791754888,,,
2020,1621483.0,1764343.5938461274,poly_deg1,,,,1.4640157746066507,-1.445399792363669,4.37343134157697,10.072085067696435,2.1270922765348264,18.017077858858045,,,
2021,1933381.0,1801590.503076896,poly_deg1,,,,2.0879841368753205,-0.8214314300949992,4.99739970384564,10.735422134799592,2.7904293436379835,18.680414925961202,,,
2022,2250434.0,1838837.4123076648,poly_deg1,,,,2.7119524991442177,-0.197463067826102,5.621368066114537,11.398759201902749,3.4537664107411405,19.34375199306436,,,
2023,2498813.0,1876084.3215384334,poly_deg1,,,,3.3359208614128875,0.4265052944425678,6.245336428383207,12.062096269005906,4.117103477844298,20.007089060167516,,,
2024,559876.0,1913331.230769202,poly_deg1,,,,3.9598892236817846,1.050473656711465,6.869304790652104,12.725433336109063,4.780440544947455,20.670426127270673,,,
2025,,,poly_deg1,1950578.1399999708,1277546.6083970536,2623609.671602888,4.5838575859504544,1.6744420189801348,7.493273152920774,13.388770403211993,5.4437776120503845,21.333763194373603,1697002.9817999746,253575.15819999622,111738.79564602263
2026,,,poly_deg1,1987825.0492307395,1314793.5176278222,2660856.5808336567,5.207825948219124,2.2984103812488046,8.117241515189445,14.05210747031515,6.107114679153542,21.99710026147676,1729407.7928307434,258417.25639999614,126377.61837673042
2027,,,poly_deg1,2025071.9584615082,1352040.426858591,2698103.4900644254,5.831794310488021,2.9223787435177018,8.741209877458342,14.715444537418307,6.770451746256699,22.660437328579917,1761812.6038615122,263259.35459999606,141485.07150918434
2028,,,poly_deg1,2062318.8676922768,1389287.3360893596,2735350.399295194,6.455762672756691,3.5463471057863716,9.365178239727012,15.378781604521464,7.433788813359856,23.323774395683074,1794217.414892281,268101.452799996,157061.1550433765
2029,,,poly_deg1,2099565.7769230455,1426534.2453201283,2772597.3085259628,7.079731035025361,4.170315468055041,9.989146601995682,16.04211867162462,8.097125880463013,23.98711146278623,1826622.2259230495,272943.5509999959,173105.8689793108
2030,,,poly_deg1,2136812.686153814,1463781.154550897,2809844.2177567314,7.703699397294258,4.794283830323939,10.613114964264579,16.70545573872778,8.76046294756617,24.65044852988939,1859027.0369538183,277785.64919999585,189619.21331699155
