year,actual,fitted,model,forecast,lower_95,upper_95
2000,1115718.0,1019405.409230724,poly_deg1,,,
2001,1085075.0,1056652.3184614927,poly_deg1,,,
2002,1060951.0,1093899.2276922613,poly_deg1,,,
2003,1073282.0,1131146.13692303,poly_deg1,,,
2004,1136182.0,1168393.0461537987,poly_deg1,,,
2005,1156248.0,1205639.9553845674,poly_deg1,,,
2006,1228827.0,1242886.864615336,poly_deg1,,,
2007,1295943.0,1280133.7738461047,poly_deg1,,,
2008,1332267.0,1317380.6830768883,poly_deg1,,,
2009,1351913.0,1354627.592307657,poly_deg1,,,
2010,1339866.0,1391874.5015384257,poly_deg1,,,
2011,1323949.0,1429121.4107691944,poly_deg1,,,
2012,1289836.0,1466368.319999963,poly_deg1,,,
2013,1243905.0,1503615.2292307317,poly_deg1,,,
2014,1609547.0,1540862.1384615004,poly_deg1,,,
2015,1667136.0,1578109.047692269,poly_deg1,,,
2016,1763876.0,1615355.9569230378,poly_deg1,,,
2017,1649694.0,1652602.8661538064,poly_deg1,,,
2018,1908683.0,1689849.7753845751,poly_deg1,,,
2019,2162323.0,1727096.6846153587,poly_deg1,,,
2020,1621483.0,1764343.5938461274,poly_deg1,,,
2021,1933381.0,1801590.503076896,poly_deg1,,,
2022,2250434.0,1838837.4123076648,poly_deg1,,,
2023,2498813.0,1876084.3215384334,poly_deg1,,,
2024,559876.0,1913331.230769202,poly_deg1,,,
2025,,,poly_deg1,1950578.1399999708,1277546.6083970536,2623609.671602888
2026,,,poly_deg1,1987825.0492307395,1314793.5176278222,2660856.5808336567
2027,,,poly_deg1,2025071.9584615082,1352040.426858591,2698103.4900644254
2028,,,poly_deg1,2062318.8676922768,1389287.3360893596,2735350.399295194
2029,,,poly_deg1,2099565.7769230455,1426534.2453201283,2772597.3085259628
2030,,,poly_deg1,2136812.686153814,1463781.154550897,2809844.2177567314
