year,e_rr_pct_new,e_rr_pct_new_lower,e_rr_pct_new_upper,e_rr_pct_ret,e_rr_pct_ret_lower,e_rr_pct_ret_upper
2017,-0.40788931219958613,-3.317304879169906,2.5015262547707335,8.08207386638719,0.13708107522558244,16.0270666575488
2018,0.21607905006908368,-2.693336516901236,3.1254946170394033,8.74541093349012,0.8004181423285122,16.69040372465173
2019,0.8400474123379809,-2.069368154632339,3.7494629793083005,9.408748000593278,1.4637552094316693,17.353740791754888
2020,1.4640157746066507,-1.445399792363669,4.37343134157697,10.072085067696435,2.1270922765348264,18.017077858858045
2021,2.0879841368753205,-0.8214314300949992,4.99739970384564,10.735422134799592,2.7904293436379835,18.680414925961202
2022,2.7119524991442177,-0.197463067826102,5.621368066114537,11.398759201902749,3.4537664107411405,19.34375199306436
2023,3.3359208614128875,0.4265052944425678,6.245336428383207,12.062096269005906,4.117103477844298,20.007089060167516
2024,3.9598892236817846,1.050473656711465,6.869304790652104,12.725433336109063,4.780440544947455,20.670426127270673
2025,4.5838575859504544,1.6744420189801348,7.493273152920774,13.388770403211993,5.4437776120503845,21.333763194373603
2026,5.207825948219124,2.2984103812488046,8.117241515189445,14.05210747031515,6.107114679153542,21.99710026147676
2027,5.831794310488021,2.9223787435177018,8.741209877458342,14.715444537418307,6.770451746256699,22.660437328579917
2028,6.455762672756691,3.5463471057863716,9.365178239727012,15.378781604521464,7.433788813359856,23.323774395683074
2029,7.079731035025361,4.170315468055041,9.989146601995682,16.04211867162462,8.097125880463013,23.98711146278623
2030,7.703699397294258,4.794283830323939,10.613114964264579,16.70545573872778,8.76046294756617,24.65044852988939
