year,model,fitted,actual,forecast,lower_95,upper_95
2000,poly_deg1,941152.4999999851,1115718.0,,,
2001,poly_deg1,988401.5573122352,1085075.0,,,
2002,poly_deg1,1035650.6146244854,1060951.0,,,
2003,poly_deg1,1082899.6719367504,1073282.0,,,
2004,poly_deg1,1130148.7292490005,1136182.0,,,
2005,poly_deg1,1177397.7865612507,1156248.0,,,
2006,poly_deg1,1224646.8438735008,1228827.0,,,
2007,poly_deg1,1271895.901185751,1295943.0,,,
2008,poly_deg1,1319144.958498016,1332267.0,,,
2009,poly_deg1,1366394.0158102661,1351913.0,,,
2010,poly_deg1,1413643.0731225163,1339866.0,,,
2011,poly_deg1,1460892.1304347664,1323949.0,,,
2012,poly_deg1,1508141.1877470165,1289836.0,,,
2013,poly_deg1,1555390.2450592816,1243905.0,,,
2014,poly_deg1,1602639.3023715317,1609547.0,,,
2015,poly_deg1,1649888.3596837819,1667136.0,,,
2016,poly_deg1,1697137.416996032,1763876.0,,,
2017,poly_deg1,1744386.4743082821,1649694.0,,,
2018,poly_deg1,1791635.5316205472,1908683.0,,,
2019,poly_deg1,1838884.5889327973,2162323.0,,,
2020,poly_deg1,1886133.6462450475,1621483.0,,,
2021,poly_deg1,1933382.7035572976,1933381.0,,,
2022,poly_deg1,1980631.7608695626,2250434.0,,,
2023,poly_deg1,,2498813.0,,,
2024,poly_deg1,,559876.0,,,
2023,poly_deg1,,,2027880.8181818128,1736625.4132109866,2319136.223152639
2024,poly_deg1,,,2075129.875494063,1783874.4705232368,2366385.280464889
2025,poly_deg1,,,2122378.932806313,1831123.527835487,2413634.337777139
2026,poly_deg1,,,2169627.990118563,1878372.585147737,2460883.3950893893
2027,poly_deg1,,,2216877.047430828,1925621.642460002,2508132.4524016543
2028,poly_deg1,,,2264126.1047430784,1972870.6997722522,2555381.5097139045
2000,poly_deg2,1086829.6000051498,1115718.0,,,
2001,poly_deg2,1094348.5391349792,1085075.0,,,
2002,poly_deg2,1105651.299044609,1060951.0,,,
2003,poly_deg2,1120737.8797330856,1073282.0,,,
2004,poly_deg2,1139608.2812013626,1136182.0,,,
2005,poly_deg2,1162262.5034484863,1156248.0,,,
2006,poly_deg2,1188700.5464754105,1228827.0,,,
2007,poly_deg2,1218922.4102811813,1295943.0,,,
2008,poly_deg2,1252928.094865799,1332267.0,,,
2009,poly_deg2,1290717.600230217,1351913.0,,,
2010,poly_deg2,1332290.9263734818,1339866.0,,,
2011,poly_deg2,1377648.0732955933,1323949.0,,,
2012,poly_deg2,1426789.0409984589,1289836.0,,,
2013,poly_deg2,1479713.8294792175,1243905.0,,,
2014,poly_deg2,1536422.4387397766,1609547.0,,,
2015,poly_deg2,1596914.8687782288,1667136.0,,,
2016,poly_deg2,1661191.119597435,1763876.0,,,
2017,poly_deg2,1729251.191195488,1649694.0,,,
2018,poly_deg2,1801095.0835733414,1908683.0,,,
2019,poly_deg2,1876722.7967300415,2162323.0,,,
2020,poly_deg2,1956134.3306655884,1621483.0,,,
2021,poly_deg2,2039329.6853809357,1933381.0,,,
2022,poly_deg2,2126308.8608751297,2250434.0,,,
2023,poly_deg2,,2498813.0,,,
2024,poly_deg2,,559876.0,,,
2023,poly_deg2,,,2217071.8571481705,1966688.8062362052,2467454.908060136
2024,poly_deg2,,,2311618.6742010117,2061235.6232890463,2562001.725112977
2025,poly_deg2,,,2409949.3120336533,2159566.261121688,2660332.3629456186
2026,poly_deg2,,,2512063.770644188,2261680.7197322226,2762446.8215561532
2027,poly_deg2,,,2617962.0500354767,2367578.9991235114,2868345.100947442
2028,poly_deg2,,,2727644.1502046585,2477261.099292693,2978027.201116624
2000,ets,1076494.9599999997,1115718.0,,,
2001,ets,1055706.7488,1085075.0,,,
2002,ets,1033546.3744639999,1060951.0,,,
2003,ets,1036849.0997939201,1073282.0,,,
2004,ets,1087830.1379506176,1136182.0,,,
2005,ets,1128472.2966592226,1156248.0,,,
2006,ets,1200319.1245435579,1228827.0,,,
2007,ets,1280802.3207520652,1295943.0,,,
2008,ets,1340965.7607452201,1332267.0,,,
2009,ets,1378132.4054530556,1351913.0,,,
2010,ets,1381178.8946818232,1339866.0,,,
2011,ets,1365979.7030115114,1323949.0,,,
2012,ets,1330294.9819820053,1289836.0,,,
2013,ets,1278095.6957323623,1243905.0,,,
2014,ets,1516375.3377446216,1609547.0,,,
2015,ets,1664331.8740201707,1667136.0,,,
2016,ets,1793503.7836479698,1763876.0,,,
2017,ets,1759406.1734613332,1649694.0,,,
2018,ets,1919073.7485713186,1908683.0,,,
2019,ets,2164314.6887867544,2162323.0,,,
2020,ets,1872767.2622185182,1621483.0,,,
2021,ets,1950560.7401250014,1933381.0,,,
2022,ets,2207894.7224725946,2250434.0,,,
2023,ets,,2498813.0,,,
2024,ets,,559876.0,,,
2023,ets,,,2207894.7224725946,2075430.309919774,2340359.135025415
2024,ets,,,2285304.7488951883,2152840.336342368,2417769.161448009
2025,ets,,,2362714.7753177825,2230250.362764962,2495179.187870603
2026,ets,,,2440124.8017403767,2307660.389187556,2572589.2142931973
2027,ets,,,2517534.828162971,2385070.4156101504,2649999.2407157915
2028,ets,,,2594944.8545855647,2462480.442032744,2727409.267138385
2029,ets,,,2672354.881008159,2539890.4684553384,2804819.2935609794
2030,ets,,,2749764.907430753,2617300.4948779326,2882229.3199835736
2000,bayes_lin,941152.5000080168,1115718.0,,,
2001,bayes_lin,988401.5573199689,1085075.0,,,
2002,bayes_lin,1035650.614631921,1060951.0,,,
2003,bayes_lin,1082899.671943888,1073282.0,,,
2004,bayes_lin,1130148.7292558402,1136182.0,,,
2005,bayes_lin,1177397.7865677923,1156248.0,,,
2006,bayes_lin,1224646.8438797444,1228827.0,,,
2007,bayes_lin,1271895.9011916965,1295943.0,,,
2008,bayes_lin,1319144.9585036635,1332267.0,,,
2009,bayes_lin,1366394.0158156157,1351913.0,,,
2010,bayes_lin,1413643.0731275678,1339866.0,,,
2011,bayes_lin,1460892.1304395199,1323949.0,,,
2012,bayes_lin,1508141.187751472,1289836.0,,,
2013,bayes_lin,1555390.245063439,1243905.0,,,
2014,bayes_lin,1602639.3023753911,1609547.0,,,
2015,bayes_lin,1649888.3596873432,1667136.0,,,
2016,bayes_lin,1697137.4169992954,1763876.0,,,
2017,bayes_lin,1744386.4743112475,1649694.0,,,
2018,bayes_lin,1791635.5316232145,1908683.0,,,
2019,bayes_lin,1838884.5889351666,2162323.0,,,
2020,bayes_lin,1886133.6462471187,1621483.0,,,
2021,bayes_lin,1933382.7035590708,1933381.0,,,
2022,bayes_lin,1980631.7608710378,2250434.0,,,
2023,bayes_lin,,2498813.0,,,
2024,bayes_lin,,559876.0,,,
2023,bayes_lin,,,2027880.81818299,1703260.2352130427,2352501.401152937
2024,bayes_lin,,,2075129.875494942,1747145.2588111253,2403114.4921787586
2025,bayes_lin,,,2122378.932806894,1790799.4920295875,2453958.373584201
2026,bayes_lin,,,2169627.9901188463,1834230.3556867712,2505025.6245509214
2027,bayes_lin,,,2216877.0474308133,1877445.3876072927,2556308.707254334
2028,bayes_lin,,,2264126.1047427654,1920452.1879699808,2607800.02151555
